,Quantity,Unit_Price,Discount_Percent,Total_Sales,Shipping_Cost,Profit,Profit_Margin
Quantity,1.0,0.020363578554346472,0.005009657240585706,0.5032330095315906,0.7669235383310534,0.5031553955152154,0.3028326254671741
Unit_Price,0.020363578554346472,1.0,0.021263266383796303,0.7016050139017271,0.017094892980023934,0.6669027044029556,0.3278592966821389
Discount_Percent,0.005009657240585706,0.021263266383796303,1.0,-0.045899591658169245,0.015692609912033587,-0.1413395999527047,-0.22227621664842084
Total_Sales,0.5032330095315906,0.7016050139017271,-0.045899591658169245,1.0,0.3859016387994241,0.9792165360932551,0.28962861789228467
Shipping_Cost,0.7669235383310534,0.017094892980023934,0.015692609912033587,0.3859016387994241,1.0,0.36383242432483026,0.13513206498417102
Profit,0.5031553955152154,0.6669027044029556,-0.1413395999527047,0.9792165360932551,0.36383242432483026,1.0,0.32079823983796596
Profit_Margin,0.3028326254671741,0.3278592966821389,-0.22227621664842084,0.28962861789228467,0.13513206498417102,0.32079823983796596,1.0
